Sale Date,ISBN,Discount,ItemID,OrderID
2193-04-01,989-28-79-69807-2,0.15,107109-1-3249,107085-6872
2193-04-01,989-28-79-69807-2,0.15,107109-1-3248,107085-6943
2193-04-01,989-28-3705-007-2,,107109-17-3177,107109-6844
2193-04-01,989-28-3705-054-6,,107109-44-5486,107109-6845
2193-04-01,989-28-3705-007-2,,107109-50-8483,107109-6846
2193-04-01,989-28-3705-592-3,,107109-93-5180,107109-6847
2193-04-01,989-28-3705-966-2,,107109-53-8363,107109-6848
2193-04-01,989-28-3705-007-2,,107109-36-5568,107109-6849
2193-04-01,989-28-3705-007-2,,107109-64-7513,107109-6850
2193-04-01,989-28-3705-054-6,,107109-71-1680,107109-6851
2193-04-01,989-28-3705-987-7,,107109-72-1657,107109-6852
2193-04-01,989-28-3705-583-1,,107109-35-1076,107109-6853
2193-04-01,989-28-3705-649-4,,107109-87-732,107109-6854
2193-04-01,989-28-3705-136-9,,107109-58-924,107109-6855
2193-04-01,989-28-3705-007-2,,107109-9-7520,107109-6856
2193-04-01,989-28-3705-007-2,,107109-19-3818,107109-6857
2193-04-01,989-28-3705-007-2,,107109-27-6283,107109-6858
2193-04-01,989-28-3705-007-2,,107109-40-461,107109-6859
2193-04-01,989-28-3705-007-2,,107109-23-5620,107109-6860
2193-04-01,989-28-3705-007-2,,107109-7-8688,107109-6861
2193-04-01,989-28-79-45675-7,,107109-30-475,107109-6862
2193-04-01,989-28-79-45675-7,,107109-91-6724,107109-6863
2193-04-01,989-28-79-30536-9,,107109-26-5221,107109-6864
2193-04-01,989-28-79-82197-5,,107109-75-2945,107109-6865
2193-04-01,989-28-79-64693-6,,107109-26-5941,107109-6866
2193-04-01,989-28-79-04510-4,,107109-74-6234,107109-6867
2193-04-01,989-28-79-04510-4,,107109-80-1262,107109-6868
2193-04-01,989-28-79-45675-7,,107109-54-77,107109-6869
2193-04-01,989-28-79-82749-6,,107109-65-9268,107109-6870
2193-04-01,989-28-79-69807-2,,107109-3-8478,107109-6871
2193-04-01,989-28-79-22562-9,,107109-58-4192,107109-6873
2193-04-01,989-28-79-82125-8,,107109-16-6584,107109-6874
2193-04-01,989-28-79-69807-2,,107109-59-4093,107109-6875
2193-04-01,989-28-79-82125-8,,107109-11-5294,107109-6876
2193-04-01,989-28-79-69807-2,,107109-59-4092,107109-6877
2193-04-01,989-28-79-69807-2,,107109-57-421,107109-6878
2193-04-01,989-28-79-69807-2,,107109-29-6527,107109-6879
2193-04-01,989-28-79-69807-2,,107109-57-420,107109-6880
2193-04-01,989-28-79-69807-2,,107109-88-9084,107109-6881
2193-04-01,989-28-79-82125-8,,107109-11-5293,107109-6882
2193-04-01,989-28-79-82125-8,,107109-14-1738,107109-6883
2193-04-01,989-28-79-82749-6,,107109-65-9267,107109-6884
2193-04-01,989-28-79-69807-2,,107109-21-5133,107109-6885
2193-04-01,989-28-79-82125-8,,107109-14-1737,107109-6886
2193-04-01,989-28-654-2620-7,,107109-67-3135,107109-6887
2193-04-01,989-28-229-7592-2,,107109-74-4363,107109-6888
2193-04-01,989-28-229-6632-6,,107109-54-7659,107109-6889
2193-04-01,989-28-229-6632-6,,107109-80-1429,107109-6890
2193-04-01,989-28-229-9769-6,,107109-22-2771,107109-6891
2193-04-01,989-28-229-3157-7,,107109-74-2810,107109-6892
2193-04-01,989-28-229-1404-4,,107109-10-4063,107109-6893
2193-04-01,989-28-229-1404-4,,107109-11-5551,107109-6894
2193-04-01,989-28-229-3157-7,,107109-48-9756,107109-6895
2193-04-01,989-28-229-1404-4,,107109-68-1337,107109-6896
2193-04-01,989-28-229-9769-6,,107109-72-8235,107109-6897
2193-04-01,989-28-229-7592-2,,107109-70-8681,107109-6898
2193-04-01,989-28-229-1404-4,,107109-99-2499,107109-6899
2193-04-01,989-28-79-26824-4,,107109-85-6739,107109-6900
2193-04-01,989-28-79-74374-1,,107109-91-1535,107109-6901
2193-04-01,989-28-79-74374-1,,107109-72-3031,107109-6902
2193-04-01,989-28-79-23023-4,,107109-18-4787,107109-6903
2193-04-01,989-28-79-23023-4,,107109-13-3409,107109-6904
2193-04-01,989-28-79-13801-1,,107109-18-5650,107109-6905
2193-04-01,989-28-79-40897-8,,107109-69-1976,107109-6906
2193-04-01,989-28-79-23023-4,,107109-95-6795,107109-6907
2193-04-01,989-28-79-13801-1,,107109-81-6663,107109-6908
2193-04-01,989-28-79-13801-1,,107109-4-2105,107109-6909
2193-04-01,989-28-79-23023-4,,107109-24-4667,107109-6910
2193-04-01,989-28-79-71565-6,,107109-28-4383,107109-6911
2193-04-01,989-28-79-13801-1,,107109-88-1926,107109-6912
2193-04-01,989-28-79-23023-4,,107109-23-4146,107109-6913
2193-04-01,989-28-79-40897-8,,107109-51-2964,107109-6914
2193-04-01,989-28-79-13801-1,,107109-50-2707,107109-6915
2193-04-01,989-28-79-51397-9,,107109-82-718,107109-6916
2193-04-01,989-28-79-40897-8,,107109-15-6054,107109-6917
2193-04-01,989-28-79-51397-9,,107109-25-8930,107109-6918
2193-04-01,989-28-79-13801-1,,107109-1-3933,107109-6919
2193-04-01,989-28-79-13801-1,,107109-76-7203,107109-6920
2193-04-01,989-28-79-74374-1,,107109-88-1458,107109-6921
2193-04-01,989-28-79-74374-1,,107109-40-9900,107109-6922
2193-04-01,989-28-79-26824-4,,107109-63-3277,107109-6923
2193-04-01,989-28-79-71565-6,,107109-97-9257,107109-6924
2193-04-01,989-28-79-71565-6,,107109-13-2249,107109-6925
2193-04-01,989-28-79-68089-3,0.05,107109-35-3340,107109-6926
2193-04-01,989-28-79-36485-4,,107109-35-1749,107109-6927
2193-04-01,989-28-79-68089-3,0.05,107109-93-6015,107109-6928
2193-04-01,989-28-79-13801-1,,107109-48-801,107109-6929
2193-04-01,989-28-79-68089-3,0.05,107109-20-7249,107109-6930
2193-04-01,989-28-79-23023-4,,107109-83-267,107109-6931
2193-04-01,989-28-79-13801-1,,107109-12-4420,107109-6932
2193-04-01,989-28-79-91028-0,,107109-15-3043,107109-6933
2193-04-01,989-28-79-26824-4,,107109-29-6133,107109-6934
2193-04-01,989-28-79-26824-4,,107109-92-9501,107109-6935
2193-04-01,989-28-3705-492-6,,107109-77-783,107109-6936
2193-04-01,989-28-3705-222-9,,107109-51-8839,107109-6937
2193-04-01,989-28-3705-222-9,,107109-4-4217,107109-6938
2193-04-01,989-28-3705-222-9,,107109-22-373,107109-6939
2193-04-01,989-28-3705-222-9,,107109-89-6029,107109-6940
2193-04-01,989-28-3705-222-9,,107109-55-2655,107109-6941
2193-04-01,989-28-79-14379-4,,107109-22-1267,107109-6942
2193-04-01,989-28-79-68089-3,0.05,107109-3-6339,107109-6943
2193-04-01,989-28-79-45675-7,,107109-57-56,107109-6943
2193-04-01,989-28-229-6632-6,,107109-67-2359,107109-6943
2193-04-01,989-28-229-5891-8,,107109-24-2919,107109-6944
2193-04-01,989-28-79-71565-6,,107109-25-4623,107109-6944
2193-04-01,989-28-79-13801-1,,107109-27-216,107109-6944
2193-04-01,989-28-229-6632-6,,107109-2-269,107109-6945
2193-04-01,989-28-3705-966-2,,107109-98-8296,107109-6945
2193-04-01,989-28-79-55824-6,0.13,107109-78-1520,107109-6946
2193-04-01,989-28-79-69807-2,,107109-88-9083,107109-6946
2193-04-01,989-28-229-7592-2,0.13,107109-42-1554,107109-6947
2193-04-01,989-28-229-1404-4,0.13,107109-76-6211,107109-6947
2193-04-01,989-28-79-13801-1,,107109-72-8591,107109-6948
2193-04-01,989-28-3705-007-2,,107109-75-2455,107109-6948
2193-04-01,989-28-79-74374-1,,107109-49-6706,107109-6949
2193-04-01,989-28-229-1404-4,,107109-50-7442,107109-6949
2193-04-01,989-28-3705-007-2,0.13,107109-35-9433,107109-6950
2193-04-01,989-28-3705-492-6,0.13,107109-42-4203,107109-6950
2193-04-01,989-28-229-3157-7,,107109-27-9936,107109-6951
2193-04-01,989-28-79-69807-2,,107109-29-6526,107109-6951
2193-04-01,989-28-79-69807-2,,107109-21-5132,107109-6952
2193-04-01,989-28-79-23023-4,,107109-26-9251,107109-6952
2193-04-01,989-28-79-82197-5,,107109-16-3173,107109-6953
2193-04-01,989-28-79-74374-1,,107109-17-5819,107109-6953
2193-04-01,989-28-79-18127-7,,107109-15-7666,107109-6954
2193-04-01,989-28-79-82125-8,,107109-16-6583,107109-6954
2193-04-01,989-28-79-03683-6,,107109-14-8570,107109-6955
2193-04-01,989-28-79-69807-2,,107109-3-8477,107109-6955
2193-04-02,989-28-3705-007-2,,107110-39-3608,107110-6956
2193-04-02,989-28-3705-775-0,,107110-25-7135,107110-6957
2193-04-02,989-28-3705-007-2,,107110-63-5878,107110-6958
2193-04-02,989-28-3705-138-3,,107110-30-2975,107110-6959
2193-04-02,989-28-3705-007-2,,107110-37-6415,107110-6960
2193-04-02,989-28-3705-007-2,,107110-78-2546,107110-6961
2193-04-02,989-28-3705-007-2,,107110-88-1709,107110-6962
2193-04-02,989-28-3705-775-0,0.13,107110-42-7480,107110-6963
2193-04-02,989-28-79-67891-3,,107110-64-6891,107110-6964
2193-04-02,989-28-79-22871-2,,107110-72-5546,107110-6965
2193-04-02,989-28-79-45675-7,,107110-63-2728,107110-6966
2193-04-02,989-28-79-13871-4,,107110-63-8463,107110-6967
2193-04-02,989-28-79-69807-2,,107110-3-3049,107110-6968
2193-04-02,989-28-79-82749-6,,107110-55-8125,107110-6969
2193-04-02,989-28-79-82749-6,,107110-25-2761,107110-6970
2193-04-02,989-28-79-69807-2,,107110-3-3048,107110-6971
2193-04-02,989-28-79-82749-6,,107110-25-2760,107110-6972
2193-04-02,989-28-79-82749-6,,107110-55-8124,107110-6973
2193-04-02,989-28-79-69807-2,,107110-99-7738,107110-6974
2193-04-02,989-28-79-13871-4,,107110-76-309,107110-6975
2193-04-02,989-28-79-69807-2,,107110-99-7737,107110-6976
2193-04-02,989-28-229-1404-4,,107110-3-7374,107110-6977
2193-04-02,989-28-229-6632-6,,107110-84-995,107110-6978
2193-04-02,989-28-229-9769-6,,107110-19-540,107110-6979
2193-04-02,989-28-229-3157-7,0.13,107110-42-5836,107110-6980
2193-04-02,989-28-229-1404-4,,107110-30-7085,107110-6981
2193-04-02,989-28-229-6632-6,,107110-12-1658,107110-6982
2193-04-02,989-28-229-9769-6,,107110-37-7768,107110-6983
2193-04-02,989-28-229-7592-2,,107110-38-3832,107110-6984
2193-04-02,989-28-229-7592-2,,107110-38-8932,107110-6985
2193-04-02,989-28-229-7592-2,,107110-29-1556,107110-6986
2193-04-02,989-28-79-23023-4,,107110-37-7489,107110-6987
2193-04-02,989-28-79-23023-4,,107110-20-5312,107110-6988
2193-04-02,989-28-79-55824-6,,107110-23-9281,107110-6989
2193-04-02,989-28-79-91028-0,,107110-90-9959,107110-6990
2193-04-02,989-28-79-55752-2,,107110-46-1435,107110-6991
2193-04-02,989-28-79-91028-0,,107110-55-4775,107110-6992
2193-04-02,989-28-79-26824-4,,107110-71-7135,107110-6993
