BookID,Rating,ReviewerID,ReviewID
AD222,5,105,3372
AD222,3,113,7340
AD222,3,234,20430
AD222,4,459,40653
AD222,2,550,51337
AD222,4,613,52687
AD222,3,870,80763
AD222,4,1014,98430
AD222,2,1245,115590
AD222,4,1307,126839
AD222,3,1546,148957
AD222,4,1598,153761
AD222,4,1629,154881
AD222,3,1932,186666
AD222,3,2250,219753
AD222,3,2316,225066
AD222,5,2366,231452
AD222,4,2385,230679
AD222,5,2459,238574
AD222,3,2559,250653
AD222,5,2686,263947
AD222,3,2796,270987
AD222,2,2929,287653
AD222,5,2944,291232
AD222,3,3022,296458
AD222,5,3024,298539
AD222,4,3051,302130
AD222,4,3290,323753
AD222,3,3356,326888
AD222,3,3443,338657
AD222,2,3453,340449
AD222,4,3491,340685
AD222,3,3521,343586
AD222,4,3565,347788
AD222,5,3649,361435
AD222,5,3673,363736
AD222,4,3948,389949
AD222,3,4017,393582
AD222,3,4378,433939
AD222,3,4434,435579
AD222,4,4577,451562
AD222,4,4632,459438
AD222,3,4669,460762
AD222,5,4791,473754
AD222,4,5057,501938
AD222,5,5216,514076
AD222,2,5218,514771
AD222,3,5337,527760
AD222,4,5374,529876
AD222,4,5498,544157
AD222,3,5513,547142
AD222,3,5605,557530
AD222,3,5697,561186
AD222,5,5701,561685
AD222,4,5778,571662
AD222,3,5829,575673
AD222,3,5855,579362
AD222,5,5884,582064
AD222,4,5967,591354
AD222,3,6079,599188
AD222,3,6091,602566
AD222,4,6211,617635
AD222,5,6287,623453
AD222,4,6307,625849
AD222,3,6309,627534
AD222,4,6418,635959
AD222,4,6550,648763
AD222,3,6574,653638
AD222,4,6596,653462
AD222,3,6631,655081
AD222,3,6636,660135
AD222,2,6747,669057
AD222,5,6765,673233
AD222,5,6816,677739
AD222,4,6876,683046
AD222,5,7028,693890
AD222,4,7035,700035
AD222,5,7099,701287
AD222,5,7130,705080
AD222,4,7331,728249
AD222,3,7347,726582
AD222,5,7389,732564
AD222,5,7400,736931
AD222,3,7524,745074
AD222,5,7649,759356
AD222,4,7677,764334
AD222,4,7697,765839
AD222,3,7757,767978
AD222,4,7778,770870
AD222,4,7784,773153
AD222,4,7794,774648
AD222,5,7800,775644
AD222,4,7816,778135
AD222,5,7913,784469
AD222,3,8038,799147
AD222,3,8046,799056
AD222,4,8068,803038
AD222,4,8226,815274
AD222,4,8229,819435
AD222,4,8346,826581
AD222,5,8435,839738
AD222,4,8462,841151
AD222,5,8522,848537
AD222,3,8562,852933
AD222,4,8583,852261
AD222,5,8713,866449
