Sale Date,ISBN,Discount,ItemID,OrderID
2193-01-02,989-28-3705-007-2,,107020-91-8011,107020-1
2193-01-02,989-28-79-11297-4,,107020-9-3293,107020-10
2193-01-02,989-28-79-11297-4,,107020-91-4622,107020-11
2193-01-02,989-28-79-18127-7,,107020-38-4663,107020-12
2193-01-02,989-28-79-82197-5,0.15,107020-1-1485,107020-13
2193-01-02,989-28-79-05638-4,,107020-52-7106,107020-14
2193-01-02,989-28-654-5018-9,,107020-93-2425,107020-15
2193-01-02,989-28-79-69807-2,,107020-1-6589,107020-16
2193-01-02,989-28-79-69807-2,,107020-44-1929,107020-17
2193-01-02,989-28-79-05670-4,,107020-37-9059,107020-18
2193-01-02,989-28-79-82749-6,,107020-34-6800,107020-19
2193-01-02,989-28-3705-987-7,,107020-1-850,107020-2
2193-01-02,989-28-79-82125-8,,107020-78-6994,107020-20
2193-01-02,989-28-79-69807-2,,107020-89-7892,107020-21
2193-01-02,989-28-79-69807-2,,107020-89-7891,107020-22
2193-01-02,989-28-79-05670-4,,107020-75-649,107020-23
2193-01-02,989-28-79-05670-4,,107020-16-5025,107020-24
2193-01-02,989-28-79-69807-2,,107020-1-6590,107020-25
2193-01-02,989-28-229-6632-6,0.1,107020-80-960,107020-26
2193-01-02,989-28-229-1404-4,,107020-73-9433,107020-27
2193-01-02,989-28-229-1404-4,,107020-24-5674,107020-28
2193-01-02,989-28-79-13801-1,,107020-12-8333,107020-29
2193-01-02,989-28-3705-966-2,,107020-7-2469,107020-3
2193-01-02,989-28-79-23023-4,,107020-96-5059,107020-30
2193-01-02,989-28-79-13801-1,,107020-43-9356,107020-31
2193-01-02,989-28-79-36485-4,,107020-32-5821,107020-32
2193-01-02,989-28-79-91028-0,,107020-43-9068,107020-33
2193-01-02,989-28-79-23023-4,,107020-26-4804,107020-34
2193-01-02,989-28-79-23023-4,,107020-31-393,107020-35
2193-01-02,989-28-79-23023-4,,107020-99-281,107020-36
2193-01-02,989-28-3705-492-6,,107020-59-4445,107020-37
2193-01-02,989-28-3705-222-9,,107020-48-2656,107020-38
2193-01-02,989-28-79-68089-3,0.05,107020-1-4349,107020-39
2193-01-02,989-28-79-82125-8,,107020-78-6993,107020-39
2193-01-02,989-28-3705-987-7,,107020-4-9809,107020-4
2193-01-02,989-28-229-5891-8,,107020-15-4933,107020-40
2193-01-02,989-28-79-13801-1,,107020-38-9642,107020-40
2193-01-02,989-28-3705-007-2,,107020-21-5668,107020-41
2193-01-02,989-28-79-13801-1,,107020-88-2782,107020-41
2193-01-02,989-28-3705-222-9,,107020-11-5263,107020-42
2193-01-02,989-28-3705-138-3,,107020-90-3176,107020-42
2193-01-02,989-28-3705-007-2,,107020-35-6051,107020-43
2193-01-02,989-28-3705-987-7,,107020-41-7081,107020-43
2193-01-02,989-28-3705-222-9,,107020-96-7633,107020-43
2193-01-02,989-28-3705-966-2,,107020-83-1238,107020-44
2193-01-02,989-28-3705-987-7,,107020-94-1392,107020-44
2193-01-02,989-28-79-82749-6,,107020-34-6799,107020-45
2193-01-02,989-28-79-13801-1,,107020-83-1442,107020-45
2193-01-02,989-28-79-07610-8,,107020-84-9479,107020-45
2193-01-02,989-28-79-05670-4,,107020-12-9072,107020-46
2193-01-02,989-28-79-11297-4,,107020-28-3922,107020-46
2193-01-02,989-28-79-69807-2,,107020-44-1930,107020-46
2193-01-02,989-28-3705-987-7,,107020-14-6317,107020-5
2193-01-02,989-28-3705-007-2,,107020-56-6967,107020-6
2193-01-02,989-28-3705-007-2,,107020-94-7785,107020-7
2193-01-02,989-28-79-21991-8,,107020-40-7921,107020-8
2193-01-02,989-28-79-30536-9,,107020-26-5296,107020-9
2193-01-02,989-28-79-82197-5,0.15,107020-1-1296,107036-13
2193-01-03,989-28-79-68089-3,0.05,107021-54-4671,107021-100
2193-01-03,989-28-79-13801-1,,107021-9-1363,107021-100
