Sale Date,ISBN,Discount,ItemID,OrderID
2193-10-01,989-28-79-87459-9,0.15,107292-1-7909,107026-38289
2193-10-01,989-28-3705-007-2,,107292-93-5449,107292-38281
2193-10-01,989-28-3705-987-7,,107292-4-6044,107292-38282
2193-10-01,989-28-3705-987-7,,107292-92-6979,107292-38283
2193-10-01,989-28-3705-007-2,,107292-77-9991,107292-38284
2193-10-01,989-28-3705-987-7,,107292-50-8989,107292-38285
2193-10-01,989-28-3705-592-3,,107292-88-629,107292-38286
2193-10-01,989-28-3705-007-2,,107292-95-2941,107292-38287
2193-10-01,989-28-3705-987-7,,107292-4-8687,107292-38288
2193-10-01,989-28-79-45675-7,,107292-64-5433,107292-38290
2193-10-01,989-28-79-52883-6,,107292-30-5543,107292-38291
2193-10-01,989-28-79-69807-2,,107292-87-8431,107292-38292
2193-10-01,989-28-79-69807-2,,107292-87-8430,107292-38293
2193-10-01,989-28-79-05670-4,,107292-18-2929,107292-38294
2193-10-01,989-28-79-05670-4,,107292-6-4778,107292-38295
2193-10-01,989-28-654-0047-4,,107292-86-5806,107292-38296
2193-10-01,989-28-229-3157-7,0.1,107292-69-1833,107292-38297
2193-10-01,989-28-229-7592-2,,107292-69-6488,107292-38298
2193-10-01,989-28-229-1404-4,,107292-13-5591,107292-38299
2193-10-01,989-28-229-7592-2,,107292-94-1612,107292-38300
2193-10-01,989-28-229-9769-6,,107292-76-5445,107292-38301
2193-10-01,989-28-229-0197-6,,107292-12-3420,107292-38302
2193-10-01,989-28-229-9769-6,,107292-11-7003,107292-38303
2193-10-01,989-28-229-9769-6,,107292-54-6436,107292-38304
2193-10-01,989-28-229-1404-4,,107292-28-6193,107292-38305
2193-10-01,989-28-229-6632-6,,107292-12-6152,107292-38306
2193-10-01,989-28-229-9769-6,,107292-49-9664,107292-38307
2193-10-01,989-28-229-3157-7,0.1,107292-39-2439,107292-38308
2193-10-01,989-28-229-6632-6,,107292-73-1660,107292-38309
2193-10-01,989-28-229-1404-4,,107292-84-5665,107292-38310
2193-10-01,989-28-229-6632-6,,107292-96-8039,107292-38311
2193-10-01,989-28-79-74374-1,,107292-33-5441,107292-38312
2193-10-01,989-28-79-55824-6,,107292-23-7406,107292-38313
2193-10-01,989-28-79-13801-1,,107292-93-768,107292-38314
2193-10-01,989-28-79-74374-1,,107292-31-3001,107292-38315
2193-10-01,989-28-79-13801-1,,107292-28-3953,107292-38316
2193-10-01,989-28-79-68089-3,0.05,107292-25-8504,107292-38317
2193-10-01,989-28-79-23023-4,,107292-41-7321,107292-38319
2193-10-01,989-28-79-23023-4,,107292-83-9910,107292-38320
2193-10-01,989-28-79-23023-4,,107292-92-2807,107292-38321
2193-10-01,989-28-79-51397-9,,107292-89-8451,107292-38323
2193-10-01,989-28-79-40897-8,,107292-19-8464,107292-38324
2193-10-01,989-28-79-23023-4,,107292-78-152,107292-38325
2193-10-01,989-28-79-13801-1,,107292-74-5650,107292-38326
2193-10-01,989-28-3705-222-9,,107292-56-4379,107292-38327
2193-10-01,989-28-79-03683-6,,107292-57-4112,107292-38328
2193-10-01,989-28-3705-222-9,,107292-14-2019,107292-38329
2193-10-01,989-28-79-14379-4,,107292-31-4421,107292-38330
2193-10-01,989-28-3705-054-6,,107292-81-1343,107292-38330
2193-10-01,989-28-79-13871-4,,107292-86-1478,107292-38331
2193-10-01,989-28-3705-492-6,,107292-94-2871,107292-38331
2193-10-01,989-28-79-86624-2,,107292-18-3957,107292-38332
2193-10-01,989-28-79-13871-4,,107292-45-4107,107292-38332
2193-10-01,989-28-229-9769-6,,107292-50-549,107292-38333
2193-10-01,989-28-79-13871-4,,107292-82-6581,107292-38333
2193-10-01,989-28-229-0197-6,,107292-27-7990,107292-38334
2193-10-01,989-28-79-13871-4,,107292-82-6580,107292-38334
2193-10-01,989-28-79-13801-1,,107292-26-169,107292-38335
2193-10-01,989-28-79-13871-4,,107292-86-1477,107292-38335
2193-10-01,989-28-79-13801-1,,107292-28-6492,107292-38336
2193-10-01,989-28-79-23023-4,,107292-49-855,107292-38336
2193-10-01,989-28-79-68531-7,,107292-81-429,107292-38337
2193-10-01,989-28-229-9769-6,,107292-82-4418,107292-38337
2193-10-01,989-28-229-9769-6,,107292-31-7948,107292-38338
2193-10-01,989-28-79-26824-4,,107292-6-6556,107292-38338
2193-10-01,989-28-79-13871-4,,107292-45-4106,107292-38339
2193-10-01,989-28-79-26824-4,,107292-51-9457,107292-38339
2193-10-01,989-28-79-55752-2,,107292-73-2702,107292-38339
2193-10-01,989-28-79-68089-3,0.05,107292-33-1792,107292-38340
2193-10-01,989-28-229-1404-4,,107292-20-7036,107292-38340
2193-10-01,989-28-79-03683-6,,107292-39-866,107292-38340
2193-10-01,989-28-79-13801-1,,107292-78-993,107292-38340
2193-10-02,989-28-3705-649-4,,107293-94-4027,107293-38341
2193-10-02,989-28-3705-007-2,,107293-27-9348,107293-38342
2193-10-02,989-28-3705-007-2,,107293-30-5155,107293-38343
2193-10-02,989-28-3705-007-2,,107293-19-1273,107293-38344
2193-10-02,989-28-3705-649-4,,107293-5-6590,107293-38345
2193-10-02,989-28-3705-007-2,,107293-7-9798,107293-38346
2193-10-02,989-28-3705-007-2,,107293-41-6261,107293-38347
2193-10-02,989-28-3705-136-9,,107293-89-9054,107293-38348
2193-10-02,989-28-79-45675-7,,107293-47-7022,107293-38349
2193-10-02,989-28-79-82197-5,,107293-17-3040,107293-38350
2193-10-02,989-28-79-45675-7,,107293-85-893,107293-38351
2193-10-02,989-28-79-27078-0,,107293-86-4523,107293-38352
2193-10-02,989-28-79-64693-6,,107293-38-132,107293-38353
2193-10-02,989-28-79-61125-5,,107293-30-7811,107293-38354
2193-10-02,989-28-79-45675-7,,107293-99-9373,107293-38355
2193-10-02,989-28-79-18127-7,,107293-13-9948,107293-38356
2193-10-02,989-28-79-11297-4,,107293-29-140,107293-38357
2193-10-02,989-28-79-30536-9,,107293-73-4322,107293-38358
2193-10-02,989-28-654-5018-9,,107293-4-4795,107293-38360
2193-10-02,989-28-79-13871-4,,107293-26-7416,107293-38361
2193-10-02,989-28-79-05670-4,,107293-3-7885,107293-38362
2193-10-02,989-28-79-13871-4,,107293-79-8320,107293-38363
2193-10-02,989-28-79-69807-2,,107293-82-7257,107293-38364
2193-10-02,989-28-79-13871-4,,107293-15-4706,107293-38365
2193-10-02,989-28-79-22562-9,,107293-57-8911,107293-38366
2193-10-02,989-28-79-69807-2,,107293-82-7256,107293-38367
2193-10-02,989-28-79-69807-2,,107293-18-7951,107293-38368
2193-10-02,989-28-79-69807-2,,107293-97-5913,107293-38369
2193-10-02,989-28-79-05670-4,,107293-60-765,107293-38370
2193-10-02,989-28-79-13871-4,,107293-15-4705,107293-38371
2193-10-02,989-28-79-69807-2,,107293-18-7950,107293-38372
